Institution,IntitutionLatitude,InstitutionLongitude,System
AASU,31.9782,-81.1643,USG
ABAC,31.4831,-83.5302,USG
ALSU,31.569,-84.1404,USG
AMC,33.8498,-84.4383,USG
AMSC,33.8498,-84.4383,USG
ARM,32.4197,-81.7843,USG
ASU,31.5691,-84.1404,USG
BSC,30.9023,-84.5338,USG
CCGA,31.1833,-81.4868,USG
CLSU,33.5944,-84.3304,USG
CSU,32.502,-84.9402,USG
DARC,31.584,-84.211,USG
DAR,31.584,-84.211,USG
DSC,34.775,-85.0029,USG
EGC,32.5954,-82.307,USG
FVSU,32.5344,-83.896,USG
GCSU,33.0804,-83.2319,USG
GGC,33.9803,-84.0048,USG
GHC,34.1698,-85.2074,USG
GSC,33.0474,-84.1517,USG
GOC,33.0474,-84.1517,USG
GRU,33.4709,-81.9899,USG
AU,33.4709,-81.9899,USG
GSOU,32.4197,-81.7843,USG
GSU,33.7531,-84.3853,USG
GSW,32.0563,-84.2173,USG
KSU,34.0379,-84.581,USG
MGA,32.8098,-83.7318,USG
MGSU,32.8098,-83.7318,USG
MSC,32.8098,-83.7318,USG
SGSC,31.2065,-82.3894,USG
SPSU,33.9383,-84.5185,USG
SSU,32.0242,-81.0626,USG
UNG,34.5278,-83.9843,USG
UWG,33.5753,-85.1041,USG
VSU,30.8491,-83.2892,USG
GPTC,NULL,NULL,TCSG-CE
SCTC,NULL,NULL,TCSG
OTC,NULL,NULL,TCSG
ATC,NULL,NULL,TCSG-CE
GCCE,NULL,NULL,USG-CE
GTC,NULL,NULL,TCSG
UWCE,NULL,NULL,USG-CE
EU,NULL,NULL,Private
CLCE,NULL,NULL,USG-CE
UGCE,NULL,NULL,USG
CAU,NULL,NULL,Private
GFA,NULL,NULL,USG-CE
AUTCE,NULL,NULL,TCSG-CE
SVTC,NULL,NULL,TCSG
CSCE,NULL,NULL,USG-CE
SCCE,NULL,NULL,TCSG-CE
ATC-CE,NULL,NULL,TCSG-CE
CLSU-CE,NULL,NULL,USG-CE
GFA-CE,NULL,NULL,USG-CE
GPTC-CE,NULL,NULL,TCSG-CE
UGA,NULL,NULL,USG
UWG-CE,NULL,NULL,USG-CE
